,antecedents,consequents,support,confidence,lift
534,"frozenset({'win', 'jng', 'no_fb'})",frozenset({'Red'}),0.025804271424709382,0.4739913097454997,0.9479826194909994
448,"frozenset({'lose', 'no_fb', 'mid'})",frozenset({'Blue'}),0.03459718842930522,0.4739814814814815,0.947962962962963
315,frozenset({'Red'}),"frozenset({'win', 'no_fb'})",0.16410516355771831,0.32821032711543663,0.9468860897710878
314,"frozenset({'win', 'no_fb'})",frozenset({'Red'}),0.16410516355771831,0.4734430448855439,0.9468860897710878
565,"frozenset({'win', 'no_fb', 'sup'})",frozenset({'Red'}),0.028838875371722087,0.4733747503882849,0.9467495007765698
177,"frozenset({'lose', 'team'})",frozenset({'Blue'}),0.039436334144363344,0.47319763198442955,0.9463952639688591
142,"frozenset({'Blue', 'bot'})",frozenset({'lose'}),0.039436334144363344,0.47323600973236013,0.9463952639688591
162,"frozenset({'jng', 'Blue'})",frozenset({'lose'}),0.039436334144363344,0.47323600973236013,0.9463952639688591
141,"frozenset({'lose', 'bot'})",frozenset({'Blue'}),0.039436334144363344,0.47319763198442955,0.9463952639688591
168,"frozenset({'lose', 'mid'})",frozenset({'Blue'}),0.039436334144363344,0.47319763198442955,0.9463952639688591
175,"frozenset({'lose', 'sup'})",frozenset({'Blue'}),0.039436334144363344,0.47319763198442955,0.9463952639688591
176,"frozenset({'Blue', 'sup'})",frozenset({'lose'}),0.039436334144363344,0.47323600973236013,0.9463952639688591
161,"frozenset({'lose', 'jng'})",frozenset({'Blue'}),0.039436334144363344,0.47319763198442955,0.9463952639688591
